Traffic Volumes Counts,,,,,,,,,,24 hour Period Hourly Counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist,Cnty,Rte,Prefix,PM,Leg,Dir,Description,Date,Day,_0_1,,_1_2,,_2_3,,_3_4,,_4_5,,_5_6 ,,_6_7,,_7_8,,_8_9,,_9_10,,_10_11,,_11_12,,_12_13,,_13_14,,_14_15,,_15_16,,_16_17,,_17_18,,_18_19 ,,_19_20,,_20_21 ,,_21_22,,_22_23,,_23_24,,_24hr_total
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/01/2019,TUE,92,A,58,A,58,A,55,A,105,A,276,A,516,A,699,A,644,A,690,A,690,A,774,A,724,A,711,A,770,A,734,A,781,A,769,A,632,A,727,A,483,A,351,A,269,A,176,A,"11,784 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/02/2019,WED,87,A,57,A,50,A,52,A,108,A,268,A,530,A,703,A,681,A,646,A,770,A,713,A,790,A,764,A,849,A,717,A,703,A,730,A,635,A,713,A,450,A,453,A,322,A,202,A,"11,993 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/04/2019,FRI,89,A,43,A,68,A,68,A,97,A,278,A,509,A,749,A,782,A,770,A,774,A,785,A,791,A,825,A,1022,A,993,A,783,A,838,A,922,A,686,A,520,A,503,A,356,A,235,A,"13,486 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/05/2019,SAT,146,A,94,A,83,A,51,A,70,A,125,A,214,A,352,A,517,A,644,A,692,A,735,A,764,A,710,A,738,A,703,A,764,A,705,A,795,A,654,A,424,A,409,A,338,A,194,A,"10,921 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/07/2019,MON,72,A,37,A,37,A,56,A,109,A,259,A,533,A,703,A,664,A,778,A,704,A,702,A,776,A,779,A,859,A,692,A,785,A,754,A,606,A,726,A,548,A,419,A,320,A,183,A,"12,101 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/08/2019,TUE,88,A,38,A,41,A,54,A,93,A,266,A,512,A,683,A,631,A,637,A,718,A,747,A,760,A,755,A,773,A,668,A,746,A,783,A,584,A,654,A,478,A,311,A,293,A,196,A,"11,509 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/10/2019,THU,120,A,88,A,70,A,64,A,105,A,251,A,522,A,717,A,717,A,767,A,732,A,728,A,819,A,778,A,802,A,671,A,753,A,718,A,564,A,654,A,452,A,380,A,293,A,208,A,"11,973 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/12/2019,SAT,149,A,135,A,73,A,49,A,68,A,124,A,207,A,316,A,476,A,529,A,594,A,627,A,774,A,762,A,711,A,686,A,730,A,727,A,641,A,561,A,427,A,425,A,298,A,199,A,"10,288 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/15/2019,TUE,97,A,59,A,72,A,54,A,96,A,265,A,528,A,709,A,735,A,736,A,795,A,777,A,736,A,717,A,840,A,775,A,769,A,725,A,658,A,648,A,478,A,353,A,274,A,198,A,"12,094 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/16/2019,WED,82,A,72,A,77,A,54,A,105,A,271,A,551,A,659,A,725,A,715,A,791,A,751,A,729,A,758,A,874,A,699,A,740,A,788,A,744,A,654,A,487,A,431,A,297,A,202,A,"12,256 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/18/2019,FRI,96,A,86,A,76,A,74,A,126,A,242,A,528,A,716,A,758,A,812,A,825,A,792,A,774,A,780,A,830,A,749,A,822,A,780,A,663,A,713,A,510,A,444,A,344,A,262,A,"12,802 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/19/2019,SAT,159,A,109,A,62,A,56,A,75,A,138,A,221,A,335,A,472,A,626,A,738,A,736,A,840,A,775,A,753,A,759,A,709,A,730,A,696,A,626,A,494,A,386,A,296,A,213,A,"11,004 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/20/2019,SUN,131,A,85,A,54,A,46,A,64,A,73,A,143,A,216,A,308,A,445,A,586,A,593,A,714,A,682,A,655,A,611,A,587,A,618,A,587,A,468,A,348,A,226,A,201,A,121,A,"8,562 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/21/2019,MON,87,A,40,A,39,A,50,A,95,A,268,A,505,A,720,A,784,A,658,A,690,A,701,A,721,A,754,A,791,A,671,A,724,A,658,A,665,A,614,A,466,A,350,A,268,A,196,A,"11,515 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/23/2019,WED,100,A,73,A,68,A,59,A,58,A,141,A,470,A,676,A,695,A,662,A,728,A,741,A,765,A,765,A,813,A,724,A,882,A,777,A,646,A,673,A,456,A,410,A,333,A,196,A,"11,911 "
4,SCL,880 , ,6.446,N,S,SB ON FR MONTAGUE EXP         ,10/24/2019,THU,118,A,74,A,52,A,59,A,87,A,248,A,518,A,670,A,650,A,720,A,717,A,804,A,811,A,781,A,748,A,809,A,788,A,746,A,660,A,603,A,477,A,377,A,344,A,214,A,"12,075 "
