Traffic Volumes Counts,,,,,,,,,,24 hour Period Hourly Counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist,Cnty,Rte,Prefix,PM,Leg,Dir,Description,Date,Day,_0_1,,_1_2,,_2_3,,_3_4,,_4_5,,_5_6 ,,_6_7,,_7_8,,_8_9,,_9_10,,_10_11,,_11_12,,_12_13,,_13_14,,_14_15,,_15_16,,_16_17,,_17_18,,_18_19 ,,_19_20,,_20_21 ,,_21_22,,_22_23,,_23_24,,_24hr_total
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,01/22/2019,TUE,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,2733,A,3165,A,4034,A,4651,A,4403,A,4528,A,4717,A,4415,A,4585,A,3324,A,2272,A,1465,A,811,A,"45,103 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,01/23/2019,WED,447,A,236,A,209,A,150,A,375,A,857,A,1703,A,2805,A,3520,A,3051,A,2501,A,2799,A,3278,A,4141,A,4808,A,4393,A,4578,A,4638,A,4249,A,4624,A,3647,A,2369,A,1575,A,916,A,"61,869 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,01/24/2019,THU,486,A,244,A,192,A,167,A,389,A,858,A,1651,A,2768,A,3429,A,3030,A,2705,A,2942,A,3647,A,4134,A,4803,A,4434,A,4493,A,4558,A,4366,A,4738,A,3277,A,2406,A,1612,A,926,A,"62,255 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,01/25/2019,FRI,554,A,272,A,246,A,186,A,361,A,865,A,1572,A,2778,A,3362,A,3123,A,2798,A,3234,A,3982,A,4564,A,4655,A,4435,A,4417,A,4562,A,4297,A,4283,A,3224,A,2365,A,2000,A,1316,A,"63,451 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,01/26/2019,SAT,799,A,348,A,292,A,220,A,294,A,542,A,810,A,1322,A,1990,A,2518,A,2995,A,3364,A,3774,A,3678,A,3681,A,3630,A,3588,A,3777,A,3124,A,2515,A,2218,A,2251,A,1843,A,1141,A,"50,714 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,01/27/2019,SUN,741,A,378,A,298,A,151,A,154,A,307,A,563,A,929,A,1254,A,2089,A,2721,A,3277,A,3360,A,3650,A,3590,A,3530,A,3158,A,3058,A,2845,A,2105,A,1743,A,1616,A,1017,A,616,A,"43,150 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,01/28/2019,MON,316,A,166,A,131,A,153,A,343,A,784,A,1634,A,2802,A,3496,A,2879,A,2455,A,2630,A,3084,A,3729,A,4771,A,4524,A,4734,A,4659,A,4293,A,4448,A,3139,A,2021,A,1419,A,791,A,"59,401 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,01/29/2019,TUE,464,A,259,A,218,A,163,A,358,A,856,A,1686,A,2770,A,3542,A,3109,A,2593,A,2803,A,3314,A,4069,A,4821,A,4450,A,4709,A,4698,A,4316,A,4688,A,3181,A,2283,A,1434,A,878,A,"61,662 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,04/01/2019,MON,355,A,190,A,143,A,180,A,369,A,929,A,1628,A,2907,A,3365,A,2813,A,2497,A,2747,A,3231,A,3945,A,4643,A,4269,A,4387,A,4464,A,4359,A,4044,A,2693,A,1811,A,1258,A,847,A,"58,074 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,04/02/2019,TUE,422,A,221,A,183,A,178,A,372,A,947,A,1763,A,2923,A,3388,A,2889,A,2530,A,2766,A,3313,A,4084,A,4867,A,4518,A,4675,A,4535,A,4464,A,4531,A,2939,A,2154,A,1569,A,900,A,"61,131 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,04/03/2019,WED,454,A,251,A,215,A,195,A,435,A,912,A,1785,A,3037,A,3298,A,2901,A,2577,A,3046,A,3456,A,4259,A,4996,A,4526,A,4750,A,4398,A,4539,A,4345,A,2928,A,2164,A,1446,A,932,A,"61,845 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,04/04/2019,THU,470,A,229,A,197,A,196,A,439,A,948,A,1797,A,2985,A,3354,A,2914,A,2657,A,3067,A,3602,A,4416,A,4891,A,4602,A,4785,A,4481,A,4574,A,4399,A,3119,A,2177,A,1644,A,973,A,"62,916 "
4,SCL,237 , ,8.02,A,E,SAN JOSE- ZANKER ROAD INTERCHA,04/05/2019,FRI,476,A,253,A,252,A,203,A,400,A,909,A,1653,A,2925,A,3302,A,2893,A,2776,A,3539,A,4050,A,4557,A,4976,A,4470,A,4762,A,4432,A,4225,A,3994,A,2959,A,2379,A,1846,A,1191,A,"63,422 "
