Traffic Volumes Counts,,,,,,,,,,24 hour Period Hourly Counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist,Cnty,Rte,Prefix,PM,Leg,Dir,Description,Date,Day,_0_1,,_1_2,,_2_3,,_3_4,,_4_5,,_5_6 ,,_6_7,,_7_8,,_8_9,,_9_10,,_10_11,,_11_12,,_12_13,,_13_14,,_14_15,,_15_16,,_16_17,,_17_18,,_18_19 ,,_19_20,,_20_21 ,,_21_22,,_22_23,,_23_24,,_24hr_total
4,SCL,680 ,M,9.935,B,S,SANTA CLARA/ALAMEDA COUNTY LIN,01/01/2019,TUE,1129,A,1414,A,1059,A,551,A,428,A,432,A,455,A,488,A,957,A,1883,A,2898,A,2835,A,3440,A,3713,A,3837,A,3660,A,4082,A,5068,A,3876,A,2938,A,2516,A,2142,A,1549,A,958,A,"52,308 "
4,SCL,680 ,M,9.935,B,S,SANTA CLARA/ALAMEDA COUNTY LIN,01/03/2019,THU,550,A,425,A,385,A,460,A,1176,A,2419,A,3699,A,3977,A,4578,A,5040,A,4956,A,4740,A,4200,A,4772,A,5762,A,6618,A,6655,A,7015,A,4893,A,2939,A,1930,A,1674,A,1414,A,1087,A,"81,364 "
4,SCL,680 ,M,9.935,B,S,SANTA CLARA/ALAMEDA COUNTY LIN,01/06/2019,SUN,831,A,422,A,425,A,350,A,279,A,470,A,716,A,921,A,2210,A,3200,A,3884,A,4363,A,4307,A,4945,A,4440,A,4544,A,5362,A,5243,A,4178,A,3338,A,2776,A,2391,A,1876,A,1084,A,"62,555 "
4,SCL,680 ,M,9.935,B,S,SANTA CLARA/ALAMEDA COUNTY LIN,01/07/2019,MON,643,A,488,A,428,A,714,A,1871,A,3773,A,5086,A,6749,A,7542,A,7125,A,4536,A,4302,A,4312,A,4609,A,5936,A,5736,A,4985,A,5362,A,4099,A,3049,A,2531,A,1910,A,1620,A,1352,A,"88,758 "
4,SCL,680 ,M,9.935,B,S,SANTA CLARA/ALAMEDA COUNTY LIN,01/08/2019,TUE,790,A,512,A,463,A,641,A,1691,A,3985,A,5433,A,6597,A,7182,A,8254,A,6240,A,4266,A,4166,A,4241,A,5471,A,6364,A,5897,A,5590,A,5780,A,3852,A,2320,A,2140,A,1728,A,1247,A,"94,850 "
4,SCL,680 ,M,9.935,B,S,SANTA CLARA/ALAMEDA COUNTY LIN,01/10/2019,THU,724,A,518,A,498,A,680,A,1408,A,2936,A,4074,A,6750,A,7710,A,8244,A,6630,A,4330,A,4238,A,4278,A,5493,A,6332,A,6260,A,6719,A,5666,A,4297,A,2918,A,2387,A,2769,A,1283,A,"97,142 "
4,SCL,680 ,M,9.935,B,S,SANTA CLARA/ALAMEDA COUNTY LIN,01/11/2019,FRI,589,A,383,A,456,A,566,A,1180,A,2673,A,3861,A,5820,A,6865,A,6649,A,4849,A,4313,A,4417,A,4790,A,4534,A,5170,A,5842,A,6619,A,5883,A,4526,A,3197,A,2442,A,2272,A,1700,A,"89,596 "
4,SCL,680 ,M,9.935,B,S,SANTA CLARA/ALAMEDA COUNTY LIN,01/12/2019,SAT,1074,A,682,A,454,A,400,A,512,A,1038,A,2035,A,2477,A,3593,A,4317,A,5279,A,5529,A,5747,A,5777,A,5420,A,4928,A,4928,A,5127,A,5101,A,4313,A,3377,A,3374,A,2930,A,2109,A,"80,521 "
4,SCL,680 ,M,9.935,B,S,SANTA CLARA/ALAMEDA COUNTY LIN,01/14/2019,MON,690,A,460,A,410,A,678,A,1907,A,4119,A,5235,A,6710,A,7505,A,8053,A,6894,A,4523,A,3830,A,4292,A,5559,A,6035,A,6493,A,6720,A,5710,A,3725,A,2392,A,1989,A,1652,A,1086,A,"96,667 "
4,SCL,680 ,M,9.935,B,S,SANTA CLARA/ALAMEDA COUNTY LIN,01/16/2019,WED,771,A,474,A,562,A,642,A,1641,A,3789,A,5195,A,6901,A,7454,A,5892,A,3956,A,3362,A,2782,A,3049,A,5350,A,6019,A,5850,A,6057,A,5158,A,3539,A,2273,A,1866,A,1583,A,1323,A,"85,488 "
4,SCL,680 ,M,9.935,B,S,SANTA CLARA/ALAMEDA COUNTY LIN,01/17/2019,THU,706,A,534,A,503,A,613,A,1570,A,3760,A,5277,A,5165,A,4002,A,5440,A,3358,A,3787,A,3956,A,3444,A,4055,A,4464,A,4804,A,5298,A,4170,A,3064,A,1920,A,1613,A,2104,A,1429,A,"75,036 "
4,SCL,680 ,M,9.935,B,S,SANTA CLARA/ALAMEDA COUNTY LIN,01/18/2019,FRI,797,A,590,A,535,A,653,A,1652,A,3836,A,5118,A,6202,A,6301,A,5576,A,4368,A,4678,A,4489,A,4848,A,6383,A,4841,A,5037,A,4915,A,4407,A,3734,A,2724,A,2143,A,1873,A,1745,A,"87,445 "
4,SCL,680 ,M,9.935,B,S,SANTA CLARA/ALAMEDA COUNTY LIN,01/19/2019,SAT,1319,A,805,A,566,A,467,A,574,A,1157,A,2386,A,2517,A,3676,A,4862,A,5516,A,5798,A,6321,A,6481,A,6057,A,5400,A,4888,A,5670,A,6622,A,5127,A,3663,A,3347,A,2775,A,2027,A,"88,021 "
4,SCL,680 ,M,9.935,B,S,SANTA CLARA/ALAMEDA COUNTY LIN,01/22/2019,TUE,964,A,557,A,356,A,489,A,1370,A,3114,A,3918,A,5411,A,7548,A,7678,A,5912,A,3216,A,2989,A,3302,A,4336,A,4959,A,5081,A,5370,A,5080,A,4190,A,2817,A,2528,A,1515,A,864,A,"83,564 "
